B,PDSTL_CRZ_SPD_ASSIST_TOGGLE,Cruise speed assist toggle (hidden clickspot) button,Pedestal
B,PDSTL_CUTOFF_ENG1,Engine 1 stop/idle switch,Pedestal
B,PDSTL_CUTOFF_ENG2,Engine 2 stop/idle switch,Pedestal
B,PDSTL_CUTOFF_ENG3,Engine 3 stop/idle switch,Pedestal
B,PDSTL_EFIS_LEFT_BTN_BRG,Pilot EFIS bearing button (pedestal),Pedestal
B,PDSTL_EFIS_LEFT_BTN_ET,Pilot EFIS elapsed time button,Pedestal
B,PDSTL_EFIS_LEFT_BTN_HSIMODE,Pilot EFIS HSI mode button (pedestal),Pedestal
B,PDSTL_EFIS_LEFT_BTN_NAVDTA,Pilot EFIS nav data button,Pedestal
B,PDSTL_EFIS_LEFT_BTN_RADAR,Pilot EFIS radar button (pedestal),Pedestal
B,PDSTL_EFIS_LEFT_BTN_RATEST,Pilot EFIS rate test button (pedestal),Pedestal
B,PDSTL_EFIS_RIGHT_BTN_BRG,Copilot EFIS bearing button (pedestal),Pedestal
B,PDSTL_EFIS_RIGHT_BTN_ET,Copilot EFIS elapsed time button,Pedestal
B,PDSTL_EFIS_RIGHT_BTN_HSIMODE,Copilot EFIS HSI mode button (pedestal),Pedestal
B,PDSTL_EFIS_RIGHT_BTN_NAVDTA,Copilot EFIS nav data button,Pedestal
B,PDSTL_EFIS_RIGHT_BTN_RADAR,Copilot EFIS radar button (pedestal),Pedestal
B,PDSTL_EFIS_RIGHT_BTN_RATEST,Copilot EFIS rate test button (pedestal),Pedestal
B,PDSTL_EHSI_ET_1_BTN,Elapsed time button (pedestal),Pedestal
B,PDSTL_EHSI_ET_2_BTN,Elapsed time button (pedestal),Pedestal
B,PDSTL_EHSI_NAV_DATA_1_BTN,NAV data button (pedestal),Pedestal
B,PDSTL_EHSI_NAV_DATA_2_BTN,NAV data button (pedestal),Pedestal
B,PDSTL_MACH_TRIM_SW,Mach TRIM switch,Pedestal
B,PDSTL_MAG_TRUE_1_BTN,Pilot EFIS mag/true switch,Pedestal
B,PDSTL_MAG_TRUE_2_BTN,Copilot EFIS mag/true switch,Pedestal
B,PDSTL_PILOT_AP_2NDCRS_BTN,Pilot EFIS 2nd course button,Pedestal
B,PDSTL_PILOT_AP_BRG_BTN,Pilot EFIS bearing button (pedestal),Pedestal
B,PDSTL_PILOT_AP_COURSE_BTN,Pilot EFIS course button,Pedestal
B,PDSTL_PILOT_AP_HSI_BTN,Pilot EFIS HSI mode button (pedestal),Pedestal
B,PDSTL_PILOT_AP_RATEST_BTN,Pilot EFIS rate test button (pedestal),Pedestal
B,PDSTL_PILOT_AP_RDR_BTN,Pilot EFIS radar button (pedestal),Pedestal
B,PDSTL_RUDDER_RSW,Rudder knob,Pedestal
B,PDSTL_SOUND_WARN_HORN_SILENCE,Sound warning horn silence button,Pedestal
B,PDSTL_SYS_TEST_BUTTON_ADC_1,ADC 1 test button,Pedestal
B,PDSTL_SYS_TEST_BUTTON_ADC_2,ADC 2 test button,Pedestal
B,PDSTL_SYS_TEST_BUTTON_CABIN,Cabin test button,Pedestal
B,PDSTL_SYS_TEST_BUTTON_STALL_1,Stall test 1 button,Pedestal
B,PDSTL_SYS_TEST_BUTTON_STALL_2,Stall test 2 button,Pedestal
B,PDSTL_TAIL_PLANE_SW_10,Emergency TRIM CB switch,Pedestal
B,PP_AUDIO_VOL_KNOB,Volume knob (pilot side),Pilot side panel
B,PP_CTL_PP,CTL pp switch,Pilot side panel
B,PP_IRS_MODE_KNOB,Mode knob (pilot side),Pilot side panel
B,PP_PILOT_AIRSPEED_KNOB,Pilot target speed bug knob,Pilot side panel
B,PP_PILOT_ALT_DECAL,Pilot ALT decal switch,Pilot side panel
B,PP_PILOT_AOA_KNOB,Pilot AOA knob,Pilot side panel
B,PP_PILOT_ATT_HDG_BTN,Pilot ATT heading button,Pilot side panel
B,PP_PILOT_AUDIO_CPIT_BTN,Pilot cockpit switch,Pilot side panel
