Pressure Altitude: 0ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
F/F (lb/hr),741,706,671,641,611,577,546,517,487,456
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.658,.646,.629,.612,.598,.586,.568,.550,.535,.522
NM/lb,.1849,.1900,.1955,.2012,.2069,.2127,.2189,.2256,.2324,.2395
TAT (°C),-33,-34,-35,-36,-37,-37,-38,-39,-40,-40
TAS (kt),381,375,365,356,348,341,331,320,312,304
RPM (%),89.5,88.7,87.7,86.7,85.8,84.9,83.8,82.6,81.6,80.4
F/F (lb/hr),688,657,623,589,560,534,504,473,447,423
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.658,.646,.629,.612,.598,.586,.568,.550,.535,.522
NM/lb,.1838,.1888,.1944,.2001,.2059,.2117,.2179,.2246,.2315,.2385
TAT (°C),-22,-23,-24,-25,-26,-26,-27,-28,-29,-30
TAS (kt),390,383,374,364,355,348,338,327,319,311
RPM (%),91.5,90.7,89.7,88.7,87.8,86.8,85.7,84.5,83.4,82.2
F/F (lb/hr),707,676,640,606,575,548,517,486,459,435
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.658,.646,.629,.612,.598,.586,.568,.550,.535,.522
NM/lb,.1826,.1877,.1933,.1990,.2048,.2106,.2169,.2237,.2305,.2376
TAT (°C),-12,-12,-13,-14,-15,-16,-17,-18,-18,-19
TAS (kt),398,391,382,372,363,356,346,334,326,318
RPM (%),93.5,92.6,91.6,90.6,89.6,88.7,87.5,86.3,85.2,84
F/F (lb/hr),727,695,658,622,591,563,531,498,471,446
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.658,.646,.629,.612,.598,.586,.568,.550,.535,.522
NM/lb,.1815,.1866,.1923,.1980,.2038,.2096,.2159,.2227,.2296,.2367
TAT (°C),-1,-1,-2,-4,-4,-5,-6,-7,-8,-9
TAS (kt),407,399,390,379,370,363,353,341,332,324
RPM (%),95.4,94.5,93.5,92.4,91.5,90.5,89.3,88.1,87,85.7
F/F (lb/hr),746,713,675,638,606,577,544,511,482,456
,,,,,,,,,,
Pressure Altitude: 31000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.697,.677,.660,.644,.626,.607,.592,.575,.554,.535
NM/lb,.1905,.1965,.2024,.2085,.2150,.2217,.2284,.2353,.2429,.2511
TAT (°C),-35,-37,-37,-38,-39,-40,-41,-42,-43,-44
TAS (kt),400,389,379,370,360,349,341,332,320,309
RPM (%),90.8,89.7,88.7,87.7,86.6,85.6,84.6,83.4,82.2,80.9
F/F (lb/hr),699,659,624,592,558,525,498,470,439,410
,,,,,,,,,,
Pressure Altitude: 31000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.696,.677,.660,.644,.626,.607,.592,.575,.554,.535
NM/lb,.1893,.1952,.2011,.2073,.2138,.2205,.2273,.2342,.2419,.2501
TAT (°C),-24,-26,-27,-28,-23,-30,-30,-31,-32,-33
TAS (kt),408,398,388,379,368,357,349,339,327,316
RPM (%),92.9,91.7,90.7,89.7,88.6,87.5,86.5,85.3,84,82.8
F/F (lb/hr),719,679,643,609,574,540,511,492,451,421
,,,,,,,,,,
